volume,object,bytes,build_ms
10000,idx_events_created_at,245760,12.5
10000,idx_events_user_created,335872,8.4
10000,idx_events_user_id,245760,7.9
10000,всего: PK + 3 индекса,1802240,
10000,всего: только PK,974848,
10000,таблица,688128,
100000,idx_events_created_at,2260992,44.3
100000,idx_events_user_created,3178496,51.2
100000,idx_events_user_id,1982464,41.3
100000,всего: PK + 3 индекса,16556032,
100000,всего: только PK,9134080,
100000,таблица,6832128,
1000000,idx_events_created_at,22487040,416.3
1000000,idx_events_user_created,31563776,500.7
1000000,idx_events_user_id,9306112,469.8
1000000,всего: PK + 3 индекса,154173440,
1000000,всего: только PK,90816512,
1000000,таблица,68272128,
5000000,idx_events_created_at,112336896,2199.2
5000000,idx_events_user_created,157728768,2936.7
5000000,idx_events_user_id,35586048,1840.3
5000000,всего: PK + 3 индекса,759447552,
5000000,всего: только PK,453795840,
5000000,таблица,341336064,
10000000,idx_events_created_at,224641024,4497.7
10000000,idx_events_user_created,315441152,5455.8
10000000,idx_events_user_id,71016448,3467.3
10000000,всего: PK + 3 индекса,1518624768,
10000000,всего: только PK,907526144,
10000000,таблица,682672128,
