experiment,rows,indexes,duration_ms
рост 0 → 10000,10000,0,34.7
рост 10000 → 100000,90000,0,234.1
рост 100000 → 1000000,900000,0,2367.7
рост 1000000 → 5000000,4000000,0,10281.5
рост 5000000 → 10000000,5000000,0,12293.1
INSERT 1 000 000 строк,1000000,0,4718.9
UPDATE 100 000 строк (created_at),100000,0,546.8
DELETE 100 000 строк,100000,0,189.6
INSERT 1 000 000 строк,1000000,3,12390.9
UPDATE 100 000 строк (created_at),100000,3,2167.3
DELETE 100 000 строк,100000,3,51.3
построение сводки events_daily,10000000,0,1647.5
построение task_status_stats,5000000,0,341.2
REFRESH task_status_stats,5000000,0,312.2
