part,query,variant,partitions_total,partitions_in_plan,partitions_executed,subplans_removed,scan,indexes,actual_rows,rows_removed,has_sort,operations,buffers,planning_ms,execution_ms
1-2,count за 10 сентября,партиции по дням,3,1,1,0,Seq Scan,,499431,0,f,Aggregate → Gather → Seq Scan,4726,0.075,32.703
1-2,count event_type = click,"партиции по дням, без индекса",3,3,3,0,Seq Scan,,30035,1469968,f,Aggregate → Gather → Append → Seq Scan,14195,0.098,42.090
1-2,count за последние сутки от now(),партиции по дням,3,2,2,1,Seq Scan,,563815,436234,f,Aggregate → Gather → Append → Seq Scan,9464,0.097,83.580
1-2,count за 10 сентября,обычная таблица,0,1,1,0,Seq Scan,,499431,1000572,f,Aggregate → Gather → Seq Scan,14208,0.051,50.221
8,сутки + user_id,партиции + индекс user_id,3,1,1,0,Bitmap Heap Scan,events_*_user_id_idx,5,0,f,Bitmap Heap Scan → Bitmap Index Scan,8,0.050,0.057
8,только user_id,партиции + индекс user_id,3,3,3,0,Bitmap Heap Scan,events_*_user_id_idx,16,0,f,Append → Bitmap Heap Scan → Bitmap Index Scan,25,0.040,0.117
8,сутки + user_id,обычная таблица + индекс user_id,0,1,1,0,Bitmap Heap Scan,idx_events_flat_user_id,5,11,f,Bitmap Heap Scan → Bitmap Index Scan,19,0.025,0.049
9,count event_type = click,"партиции, без индекса event_type",3,3,3,0,Seq Scan,,30035,1469968,f,Aggregate → Gather → Append → Seq Scan,14195,0.102,41.592
9,count event_type = click,партиции + индекс event_type,3,3,3,0,Index Only Scan,events_*_event_type_idx,30035,0,f,Aggregate → Append → Index Only Scan,38,0.202,7.406
9,count click за 10 сентября,партиции + индекс event_type,3,1,1,0,Bitmap Heap Scan,events_*_event_type_idx,10174,0,f,Aggregate → Bitmap Heap Scan → Bitmap Index Scan,4185,0.108,6.590
3,price от 100 до 500,RANGE по цене,3,1,1,0,Seq Scan,,23945,30003,f,Seq Scan,448,0.094,7.314
3,price от 50 до 150,RANGE по цене,3,2,2,0,Seq Scan,,6115,53757,f,Append → Seq Scan,498,0.119,6.735
4,customer_type = B2B,LIST,3,1,1,0,Seq Scan,,75001,0,f,Seq Scan,601,0.138,12.543
