label,elapsed_ms,lag_bytes,write_lag_ms,flush_lag_ms,replay_lag_ms,state
нагрузка: UPDATE 6 месяцев задач,5.1,0,0.2,1.0,1.2,streaming
нагрузка: UPDATE 6 месяцев задач,207.5,3908928,0.2,1.0,1.2,streaming
нагрузка: UPDATE 6 месяцев задач,408.5,11806016,0.2,1.0,1.2,streaming
нагрузка: UPDATE 6 месяцев задач,610.7,19506496,0.2,1.0,1.2,streaming
нагрузка: UPDATE 6 месяцев задач,812.6,28607808,64.0,64.0,64.0,streaming
нагрузка: UPDATE 6 месяцев задач,1014.4,22642744,69.8,69.8,232.3,streaming
нагрузка: UPDATE 6 месяцев задач,1216.0,13312144,69.8,69.8,345.3,streaming
нагрузка: UPDATE 6 месяцев задач,1417.6,21430416,69.8,69.8,345.3,streaming
нагрузка: UPDATE 6 месяцев задач,1619.3,32006288,69.8,69.8,345.3,streaming
нагрузка: UPDATE 6 месяцев задач,1820.9,31008544,121.9,124.2,675.5,streaming
нагрузка: UPDATE 6 месяцев задач,2022.4,1327152,36.1,41.4,355.4,streaming
нагрузка: UPDATE 6 месяцев задач,2224.0,2285576,39.5,42.0,81.2,streaming
нагрузка: UPDATE 6 месяцев задач,2425.6,2654232,36.0,41.0,301.7,streaming
нагрузка: UPDATE 6 месяцев задач,2627.2,1925168,42.2,44.9,77.3,streaming
нагрузка: UPDATE 6 месяцев задач,2828.9,10715184,38.7,44.3,264.3,streaming
нагрузка: UPDATE 6 месяцев задач,3029.5,2547784,16.7,19.3,147.0,streaming
нагрузка: UPDATE 6 месяцев задач,3231.1,12582984,16.7,19.3,147.0,streaming
нагрузка: UPDATE 6 месяцев задач,3432.7,5202040,57.0,57.0,372.6,streaming
нагрузка: UPDATE 6 месяцев задач,3635.8,6406176,23.4,27.9,308.7,streaming
нагрузка: UPDATE 6 месяцев задач,3840.9,8716344,17.9,17.9,281.1,streaming
нагрузка: UPDATE 6 месяцев задач,4052.1,4571184,39.0,46.9,338.8,streaming
нагрузка: UPDATE 6 месяцев задач,4269.4,3924000,23.4,25.7,73.2,streaming
нагрузка: UPDATE 6 месяцев задач,4474.0,8863896,5.5,7.8,242.5,streaming
нагрузка: UPDATE 6 месяцев задач,4690.2,0,5.4,7.4,53.4,streaming
нагрузка: UPDATE 6 месяцев задач,4892.1,0,5.4,7.4,53.4,streaming
нагрузка: UPDATE 6 месяцев задач,5094.2,0,5.4,7.4,53.4,streaming
нагрузка: UPDATE 6 месяцев задач,5295.8,128,0.3,1.7,1.9,streaming
нагрузка: UPDATE 6 месяцев задач,5497.5,128,0.3,1.7,1.9,streaming
нагрузка: UPDATE 6 месяцев задач,5699.4,128,0.3,1.7,1.9,streaming
нагрузка: UPDATE 6 месяцев задач,5901.1,128,0.3,1.7,1.9,streaming
нагрузка: UPDATE 6 месяцев задач,6102.9,128,0.3,1.7,1.9,streaming
нагрузка: UPDATE 6 месяцев задач,6304.7,128,0.3,1.7,1.9,streaming
нагрузка: UPDATE 6 месяцев задач,6505.4,128,0.3,1.7,1.9,streaming
нагрузка: UPDATE 6 месяцев задач,6707.4,128,0.3,1.7,1.9,streaming
нагрузка: UPDATE 6 месяцев задач,6909.1,128,0.3,1.7,1.9,streaming
нагрузка: UPDATE 6 месяцев задач,7110.9,128,0.3,1.7,1.9,streaming
нагрузка: UPDATE 6 месяцев задач,7311.6,128,0.3,1.7,1.9,streaming
нагрузка: UPDATE 6 месяцев задач,7513.3,128,0.3,1.7,1.9,streaming
нагрузка: UPDATE 6 месяцев задач,7715.1,128,0.3,1.7,1.9,streaming
нагрузка: UPDATE 6 месяцев задач,7915.7,128,0.3,1.7,1.9,streaming
нагрузка: UPDATE 6 месяцев задач,8117.5,128,0.3,1.7,1.9,streaming
нагрузка: UPDATE 6 месяцев задач,8319.4,128,0.3,1.7,1.9,streaming
нагрузка: UPDATE 6 месяцев задач,8521.0,128,0.3,1.7,1.9,streaming
нагрузка: UPDATE 6 месяцев задач,8722.7,128,0.3,1.7,1.9,streaming
нагрузка: UPDATE 6 месяцев задач,8924.7,128,0.3,1.7,1.9,streaming
нагрузка: UPDATE 6 месяцев задач,9126.6,128,0.3,1.7,1.9,streaming
нагрузка: UPDATE 6 месяцев задач,9328.5,128,0.3,1.7,1.9,streaming
нагрузка: UPDATE 6 месяцев задач,9530.3,128,0.3,1.7,1.9,streaming
нагрузка: UPDATE 6 месяцев задач,9732.1,128,0.3,1.7,1.9,streaming
нагрузка: UPDATE 6 месяцев задач,9933.9,128,0.3,1.7,1.9,streaming
нагрузка: UPDATE 6 месяцев задач,10136.0,128,0.3,1.7,1.9,streaming
нагрузка: UPDATE 6 месяцев задач,10337.6,128,0.3,1.7,1.9,streaming
нагрузка: UPDATE 6 месяцев задач,10538.8,128,0.3,1.7,1.9,streaming
нагрузка: UPDATE 6 месяцев задач,10740.5,128,0.3,1.7,1.9,streaming
нагрузка: UPDATE 6 месяцев задач,10942.2,128,0.3,1.7,1.9,streaming
нагрузка: UPDATE 6 месяцев задач,11143.9,128,0.3,1.7,1.9,streaming
нагрузка: UPDATE 6 месяцев задач,11345.6,128,0.3,1.7,1.9,streaming
нагрузка: UPDATE 6 месяцев задач,11547.5,128,0.3,1.7,1.9,streaming
нагрузка: UPDATE 6 месяцев задач,11749.2,128,0.3,1.7,1.9,streaming
нагрузка: UPDATE 6 месяцев задач,11951.1,128,0.3,1.7,1.9,streaming
нагрузка: UPDATE 6 месяцев задач,12153.0,128,0.3,1.7,1.9,streaming
нагрузка: UPDATE 6 месяцев задач,12354.8,72,0.6,1.8,7020.0,streaming
нагрузка: UPDATE 6 месяцев задач,12555.8,72,0.6,1.8,7020.0,streaming
нагрузка: UPDATE 6 месяцев задач,12757.8,72,0.6,1.8,7020.0,streaming
нагрузка: UPDATE 6 месяцев задач,12959.7,72,0.6,1.8,7020.0,streaming
нагрузка: UPDATE 6 месяцев задач,13161.6,72,0.6,1.8,7020.0,streaming
нагрузка: UPDATE 6 месяцев задач,13363.4,72,0.6,1.8,7020.0,streaming
нагрузка: UPDATE 6 месяцев задач,13565.3,72,0.6,1.8,7020.0,streaming
нагрузка: UPDATE 6 месяцев задач,13767.2,72,0.6,1.8,7020.0,streaming
нагрузка: UPDATE 6 месяцев задач,13969.0,72,0.6,1.8,7020.0,streaming
нагрузка: UPDATE 6 месяцев задач,14170.8,72,0.6,1.8,7020.0,streaming
нагрузка: UPDATE 6 месяцев задач,14372.6,72,0.6,1.8,7020.0,streaming
нагрузка: UPDATE 6 месяцев задач,14574.3,72,0.6,1.8,7020.0,streaming
нагрузка: UPDATE 6 месяцев задач,14776.0,72,0.6,1.8,7020.0,streaming
нагрузка: UPDATE 6 месяцев задач,14977.8,72,0.6,1.8,7020.0,streaming
нагрузка: UPDATE 6 месяцев задач,15178.6,72,0.6,1.8,7020.0,streaming
нагрузка: UPDATE 6 месяцев задач,15380.4,72,0.6,1.8,7020.0,streaming
нагрузка: UPDATE 6 месяцев задач,15581.1,72,0.6,1.8,7020.0,streaming
нагрузка: UPDATE 6 месяцев задач,15782.9,72,0.6,1.8,7020.0,streaming
